MQ2 to MQ9 - Calibracion
Note - Make sure you are in a clean room and the sensor has pre-heated almost 4 hours
Note - All values are in KOhms
Autonumeric, MQ2(R0), MQ3(R0), MQ4(R0), MQ5(R0), MQ6(R0), MQ7(R0), MQ8(R0), MQ9(R0), v2(VDC), v3(VDC), v4(VDC), v5(VDC), v6(VDC), v7(VDC), v8(VDC), v9(VDC)
15,10.00,4.00,50.00,71.00,13.00,4.00,1.00,9.00,0.42,0.19,0.21,0.11,0.33,0.37,0.52,0.48
16,10.00,4.00,51.00,71.00,13.00,4.00,1.00,9.00,0.42,0.19,0.21,0.11,0.33,0.37,0.52,0.48
17,10.00,4.00,51.00,72.00,14.00,4.00,1.00,9.00,0.42,0.19,0.21,0.10,0.33,0.37,0.52,0.48
18,10.00,4.00,50.00,71.00,14.00,4.00,1.00,9.00,0.42,0.19,0.21,0.10,0.33,0.37,0.52,0.48
19,11.00,4.00,50.00,71.00,14.00,4.00,1.00,9.00,0.42,0.19,0.21,0.11,0.33,0.37,0.52,0.48
20,11.00,4.00,51.00,72.00,14.00,4.00,1.00,9.00,0.42,0.19,0.21,0.10,0.33,0.37,0.52,0.48
21,11.00,4.00,51.00,72.00,14.00,4.00,1.00,9.00,0.42,0.19,0.21,0.10,0.33,0.37,0.52,0.48
22,10.00,4.00,50.00,70.00,13.00,4.00,1.00,9.00,0.43,0.19,0.22,0.11,0.34,0.38,0.53,0.49
23,10.00,4.00,49.00,70.00,13.00,4.00,1.00,9.00,0.46,0.20,0.22,0.11,0.34,0.38,0.54,0.50
24,9.00,3.00,48.00,69.00,13.00,4.00,1.00,9.00,0.48,0.20,0.22,0.11,0.34,0.39,0.55,0.51
25,9.00,3.00,47.00,69.00,13.00,4.00,1.00,8.00,0.50,0.21,0.23,0.11,0.34,0.39,0.55,0.52
26,9.00,3.00,47.00,69.00,13.00,4.00,1.00,8.00,0.50,0.21,0.23,0.11,0.34,0.40,0.56,0.52
27,9.00,3.00,47.00,69.00,13.00,4.00,1.00,8.00,0.50,0.21,0.23,0.11,0.34,0.40,0.56,0.52
28,9.00,3.00,47.00,70.00,13.00,4.00,1.00,8.00,0.50,0.21,0.23,0.11,0.34,0.40,0.56,0.52
29,9.00,3.00,47.00,70.00,13.00,4.00,1.00,8.00,0.50,0.21,0.23,0.11,0.34,0.40,0.56,0.52
30,8.00,3.00,46.00,70.00,13.00,4.00,1.00,8.00,0.51,0.21,0.23,0.11,0.34,0.40,0.56,0.52
31,8.00,3.00,45.00,69.00,13.00,4.00,1.00,8.00,0.52,0.21,0.24,0.11,0.34,0.39,0.56,0.52
32,8.00,3.00,44.00,66.00,13.00,4.00,1.00,8.00,0.53,0.21,0.24,0.11,0.34,0.39,0.56,0.52
33,8.00,3.00,43.00,66.00,13.00,4.00,1.00,8.00,0.52,0.21,0.25,0.11,0.34,0.39,0.55,0.52
34,8.00,3.00,43.00,66.00,13.00,4.00,1.00,8.00,0.52,0.21,0.25,0.11,0.34,0.39,0.55,0.52
35,8.00,3.00,43.00,66.00,13.00,4.00,1.00,8.00,0.51,0.21,0.25,0.11,0.34,0.39,0.55,0.52
36,8.00,3.00,43.00,66.00,13.00,4.00,1.00,8.00,0.51,0.21,0.25,0.11,0.34,0.39,0.55,0.52
37,8.00,3.00,43.00,66.00,13.00,4.00,1.00,8.00,0.51,0.21,0.25,0.11,0.34,0.39,0.55,0.52
38,8.00,3.00,43.00,66.00,13.00,4.00,1.00,9.00,0.51,0.21,0.25,0.11,0.34,0.39,0.55,0.52
39,8.00,3.00,42.00,66.00,13.00,4.00,1.00,9.00,0.51,0.21,0.25,0.11,0.34,0.39,0.55,0.51
40,9.00,3.00,43.00,66.00,13.00,4.00,1.00,9.00,0.50,0.21,0.25,0.11,0.34,0.39,0.55,0.51
41,9.00,3.00,43.00,66.00,13.00,4.00,1.00,9.00,0.50,0.21,0.25,0.11,0.34,0.39,0.55,0.51
42,9.00,3.00,43.00,66.00,13.00,4.00,1.00,9.00,0.50,0.21,0.25,0.11,0.34,0.39,0.55,0.51
43,9.00,3.00,43.00,66.00,13.00,4.00,1.00,9.00,0.49,0.21,0.25,0.11,0.34,0.39,0.55,0.51
44,9.00,3.00,44.00,67.00,13.00,4.00,1.00,9.00,0.49,0.21,0.24,0.11,0.34,0.39,0.55,0.51
45,9.00,3.00,44.00,67.00,13.00,4.00,1.00,9.00,0.49,0.21,0.24,0.11,0.34,0.39,0.55,0.51
46,9.00,3.00,44.00,68.00,13.00,4.00,1.00,9.00,0.49,0.21,0.24,0.11,0.34,0.39,0.55,0.51
47,9.00,3.00,44.00,67.00,13.00,4.00,1.00,9.00,0.49,0.21,0.24,0.11,0.34,0.39,0.54,0.51
48,9.00,3.00,45.00,67.00,13.00,4.00,1.00,9.00,0.49,0.21,0.24,0.11,0.34,0.39,0.54,0.51
49,9.00,3.00,44.00,68.00,13.00,4.00,1.00,9.00,0.49,0.21,0.24,0.11,0.34,0.39,0.54,0.51
50,9.00,3.00,45.00,68.00,13.00,4.00,1.00,9.00,0.49,0.21,0.24,0.11,0.34,0.39,0.54,0.51
51,9.00,3.00,44.00,67.00,13.00,4.00,1.00,9.00,0.49,0.21,0.24,0.11,0.34,0.39,0.54,0.51
52,9.00,3.00,44.00,68.00,13.00,4.00,1.00,9.00,0.49,0.20,0.24,0.11,0.34,0.38,0.54,0.51
53,9.00,3.00,45.00,68.00,13.00,4.00,1.00,9.00,0.49,0.20,0.24,0.11,0.34,0.39,0.54,0.51
54,9.00,3.00,45.00,68.00,13.00,4.00,1.00,9.00,0.49,0.20,0.24,0.11,0.34,0.38,0.54,0.51
55,9.00,3.00,45.00,68.00,13.00,4.00,1.00,9.00,0.49,0.20,0.24,0.11,0.34,0.38,0.54,0.51
56,9.00,3.00,45.00,68.00,13.00,4.00,1.00,9.00,0.49,0.20,0.24,0.11,0.34,0.38,0.54,0.51
57,9.00,3.00,45.00,69.00,13.00,4.00,1.00,9.00,0.49,0.20,0.24,0.11,0.34,0.38,0.54,0.51
58,9.00,3.00,45.00,69.00,13.00,4.00,1.00,9.00,0.49,0.20,0.24,0.11,0.34,0.38,0.54,0.51
59,9.00,3.00,45.00,68.00,13.00,4.00,1.00,9.00,0.49,0.20,0.24,0.11,0.34,0.38,0.54,0.51
60,9.00,3.00,44.00,68.00,13.00,4.00,1.00,9.00,0.49,0.20,0.24,0.11,0.34,0.38,0.54,0.51
61,9.00,3.00,45.00,68.00,13.00,4.00,1.00,9.00,0.48,0.20,0.24,0.11,0.34,0.38,0.54,0.50
62,9.00,3.00,45.00,69.00,13.00,4.00,1.00,9.00,0.48,0.20,0.24,0.11,0.34,0.38,0.54,0.50
63,9.00,3.00,45.00,69.00,13.00,4.00,1.00,9.00,0.48,0.20,0.24,0.11,0.34,0.38,0.54,0.50
64,9.00,4.00,45.00,69.00,13.00,4.00,1.00,9.00,0.48,0.20,0.24,0.11,0.34,0.38,0.54,0.50
65,9.00,4.00,45.00,69.00,13.00,4.00,1.00,9.00,0.48,0.20,0.24,0.11,0.34,0.38,0.53,0.50
66,9.00,4.00,45.00,69.00,13.00,4.00,1.00,9.00,0.48,0.20,0.24,0.11,0.34,0.38,0.53,0.50
67,9.00,4.00,45.00,69.00,13.00,4.00,1.00,9.00,0.48,0.20,0.24,0.11,0.34,0.38,0.53,0.50
68,9.00,3.00,45.00,69.00,13.00,4.00,1.00,9.00,0.49,0.20,0.24,0.11,0.34,0.38,0.53,0.50
69,9.00,3.00,45.00,69.00,13.00,4.00,1.00,9.00,0.48,0.20,0.24,0.11,0.34,0.38,0.53,0.50
70,9.00,4.00,45.00,68.00,13.00,4.00,1.00,9.00,0.48,0.20,0.24,0.11,0.34,0.38,0.53,0.50
71,9.00,4.00,45.00,69.00,13.00,4.00,1.00,9.00,0.48,0.20,0.24,0.11,0.34,0.38,0.53,0.50
72,9.00,3.00,45.00,69.00,13.00,4.00,1.00,9.00,0.48,0.20,0.24,0.11,0.34,0.38,0.53,0.50
73,9.00,3.00,45.00,69.00,13.00,4.00,1.00,9.00,0.48,0.20,0.24,0.11,0.34,0.38,0.53,0.50
74,9.00,3.00,45.00,69.00,13.00,4.00,1.00,9.00,0.48,0.20,0.24,0.11,0.34,0.38,0.53,0.50
75,9.00,3.00,45.00,70.00,13.00,4.00,1.00,9.00,0.48,0.20,0.23,0.11,0.34,0.38,0.53,0.50
76,9.00,4.00,45.00,69.00,13.00,4.00,1.00,9.00,0.48,0.20,0.23,0.11,0.34,0.38,0.53,0.50
77,9.00,4.00,45.00,69.00,13.00,4.00,1.00,9.00,0.48,0.20,0.24,0.11,0.34,0.38,0.53,0.50
78,9.00,4.00,46.00,69.00,13.00,4.00,1.00,9.00,0.48,0.20,0.23,0.11,0.34,0.38,0.53,0.50
79,9.00,4.00,46.00,69.00,13.00,4.00,1.00,9.00,0.48,0.20,0.23,0.11,0.34,0.38,0.53,0.50
80,9.00,4.00,46.00,69.00,13.00,4.00,1.00,9.00,0.47,0.20,0.23,0.11,0.34,0.38,0.53,0.50
81,9.00,4.00,46.00,69.00,13.00,4.00,1.00,9.00,0.47,0.20,0.23,0.11,0.34,0.38,0.53,0.50
82,9.00,4.00,46.00,69.00,13.00,4.00,1.00,9.00,0.47,0.20,0.23,0.11,0.34,0.38,0.53,0.50
83,9.00,4.00,46.00,69.00,13.00,4.00,1.00,9.00,0.47,0.20,0.23,0.11,0.34,0.38,0.53,0.50
84,9.00,4.00,46.00,70.00,13.00,4.00,1.00,9.00,0.47,0.20,0.23,0.11,0.34,0.38,0.53,0.50
85,9.00,4.00,46.00,69.00,13.00,4.00,1.00,9.00,0.47,0.20,0.23,0.11,0.34,0.38,0.53,0.50
86,9.00,4.00,46.00,69.00,13.00,4.00,1.00,9.00,0.47,0.20,0.23,0.11,0.34,0.38,0.53,0.50
87,9.00,4.00,46.00,70.00,13.00,4.00,1.00,9.00,0.47,0.20,0.23,0.11,0.34,0.38,0.53,0.50
88,9.00,4.00,46.00,70.00,13.00,4.00,1.00,9.00,0.47,0.20,0.23,0.11,0.34,0.38,0.53,0.50
89,9.00,4.00,46.00,70.00,13.00,4.00,1.00,9.00,0.47,0.20,0.23,0.11,0.34,0.38,0.53,0.50
90,9.00,4.00,46.00,70.00,13.00,4.00,1.00,9.00,0.47,0.20,0.23,0.11,0.34,0.37,0.53,0.50
91,9.00,4.00,46.00,70.00,13.00,4.00,1.00,9.00,0.47,0.20,0.23,0.11,0.34,0.38,0.53,0.50
92,9.00,4.00,46.00,70.00,13.00,4.00,1.00,9.00,0.47,0.20,0.23,0.11,0.34,0.37,0.53,0.50
93,9.00,4.00,47.00,70.00,13.00,4.00,1.00,9.00,0.47,0.20,0.23,0.11,0.34,0.37,0.53,0.50
94,9.00,4.00,47.00,70.00,13.00,4.00,1.00,9.00,0.47,0.20,0.23,0.11,0.34,0.37,0.53,0.50
95,9.00,4.00,47.00,70.00,13.00,4.00,1.00,9.00,0.47,0.20,0.23,0.11,0.34,0.37,0.53,0.50
96,9.00,4.00,47.00,70.00,13.00,4.00,1.00,9.00,0.47,0.20,0.23,0.11,0.34,0.37,0.53,0.50
97,9.00,4.00,47.00,70.00,13.00,4.00,1.00,9.00,0.47,0.20,0.23,0.11,0.34,0.37,0.53,0.50
98,9.00,4.00,47.00,70.00,13.00,4.00,1.00,9.00,0.47,0.19,0.23,0.11,0.34,0.37,0.52,0.50
99,9.00,4.00,47.00,70.00,13.00,4.00,1.00,9.00,0.46,0.19,0.23,0.11,0.34,0.37,0.52,0.49
100,9.00,4.00,47.00,70.00,13.00,4.00,1.00,9.00,0.47,0.20,0.23,0.11,0.34,0.37,0.52,0.49
101,9.00,4.00,47.00,70.00,13.00,4.00,1.00,9.00,0.46,0.20,0.23,0.11,0.34,0.37,0.52,0.49
102,9.00,4.00,47.00,70.00,13.00,4.00,1.00,9.00,0.46,0.20,0.23,0.11,0.34,0.37,0.52,0.49
103,9.00,4.00,47.00,70.00,13.00,4.00,1.00,9.00,0.46,0.20,0.23,0.11,0.34,0.37,0.52,0.49
104,9.00,4.00,47.00,70.00,13.00,4.00,1.00,9.00,0.46,0.20,0.23,0.11,0.34,0.37,0.52,0.49
105,9.00,4.00,47.00,70.00,13.00,4.00,1.00,9.00,0.46,0.19,0.23,0.11,0.34,0.37,0.52,0.49
106,9.00,4.00,47.00,70.00,13.00,4.00,1.00,9.00,0.46,0.19,0.23,0.11,0.34,0.37,0.52,0.49
107,9.00,4.00,47.00,70.00,13.00,4.00,1.00,9.00,0.46,0.19,0.23,0.11,0.34,0.37,0.52,0.49
108,9.00,4.00,47.00,70.00,13.00,4.00,1.00,9.00,0.46,0.19,0.23,0.11,0.34,0.37,0.52,0.49
109,9.00,4.00,47.00,70.00,13.00,4.00,1.00,9.00,0.46,0.19,0.23,0.11,0.34,0.37,0.52,0.49
110,10.00,4.00,47.00,70.00,13.00,4.00,1.00,9.00,0.46,0.19,0.23,0.11,0.34,0.37,0.52,0.49
111,10.00,4.00,47.00,71.00,13.00,4.00,1.00,9.00,0.46,0.19,0.23,0.11,0.34,0.37,0.52,0.49
112,9.00,4.00,48.00,71.00,13.00,4.00,1.00,9.00,0.46,0.19,0.23,0.11,0.34,0.37,0.52,0.49
113,9.00,4.00,47.00,71.00,13.00,4.00,1.00,9.00,0.46,0.19,0.23,0.11,0.33,0.37,0.52,0.49
114,9.00,4.00,47.00,70.00,13.00,4.00,1.00,9.00,0.46,0.19,0.23,0.11,0.33,0.37,0.52,0.49
115,9.00,4.00,47.00,71.00,13.00,4.00,1.00,9.00,0.46,0.19,0.23,0.11,0.33,0.37,0.52,0.49
116,9.00,4.00,47.00,70.00,13.00,4.00,1.00,9.00,0.46,0.19,0.23,0.11,0.33,0.37,0.52,0.49
117,9.00,4.00,47.00,70.00,13.00,4.00,1.00,9.00,0.46,0.19,0.23,0.11,0.33,0.37,0.52,0.49
118,9.00,4.00,47.00,70.00,13.00,4.00,1.00,9.00,0.46,0.19,0.23,0.11,0.33,0.37,0.52,0.49
119,9.00,4.00,47.00,71.00,13.00,4.00,1.00,9.00,0.46,0.19,0.23,0.11,0.33,0.37,0.52,0.49
120,9.00,4.00,47.00,71.00,13.00,4.00,1.00,9.00,0.46,0.19,0.23,0.11,0.33,0.37,0.52,0.49
121,9.00,4.00,47.00,70.00,13.00,4.00,1.00,9.00,0.46,0.19,0.23,0.11,0.33,0.37,0.52,0.49
122,9.00,4.00,47.00,71.00,13.00,4.00,1.00,9.00,0.46,0.19,0.23,0.11,0.33,0.37,0.52,0.49
123,10.00,4.00,47.00,71.00,13.00,4.00,1.00,9.00,0.46,0.19,0.23,0.11,0.33,0.37,0.52,0.49
124,9.00,4.00,47.00,71.00,14.00,4.00,1.00,9.00,0.46,0.19,0.23,0.11,0.33,0.37,0.52,0.49
125,10.00,4.00,47.00,71.00,13.00,4.00,1.00,9.00,0.46,0.19,0.23,0.11,0.33,0.37,0.52,0.49
126,10.00,4.00,48.00,71.00,13.00,4.00,1.00,9.00,0.46,0.19,0.23,0.11,0.33,0.37,0.52,0.49
127,10.00,4.00,47.00,71.00,13.00,4.00,1.00,9.00,0.46,0.19,0.23,0.10,0.33,0.37,0.52,0.49
128,10.00,4.00,48.00,71.00,13.00,4.00,1.00,9.00,0.46,0.19,0.23,0.11,0.33,0.37,0.52,0.49
129,10.00,4.00,48.00,71.00,14.00,4.00,1.00,9.00,0.46,0.19,0.23,0.10,0.33,0.37,0.52,0.49
130,10.00,4.00,48.00,71.00,13.00,4.00,1.00,9.00,0.46,0.19,0.22,0.10,0.33,0.37,0.52,0.49
131,10.00,4.00,48.00,72.00,13.00,4.00,1.00,9.00,0.46,0.19,0.22,0.10,0.33,0.37,0.52,0.49
132,10.00,4.00,48.00,72.00,13.00,4.00,1.00,9.00,0.46,0.19,0.22,0.10,0.33,0.37,0.52,0.49
133,9.00,4.00,48.00,72.00,13.00,4.00,1.00,9.00,0.46,0.19,0.22,0.10,0.33,0.37,0.52,0.50
134,9.00,4.00,48.00,72.00,13.00,4.00,1.00,9.00,0.46,0.19,0.22,0.10,0.33,0.37,0.52,0.50
135,10.00,4.00,48.00,72.00,13.00,4.00,1.00,9.00,0.46,0.19,0.22,0.10,0.33,0.37,0.52,0.49
136,9.00,4.00,48.00,72.00,14.00,4.00,1.00,9.00,0.46,0.19,0.22,0.10,0.33,0.37,0.52,0.49
137,9.00,4.00,48.00,70.00,14.00,4.00,1.00,9.00,0.46,0.19,0.22,0.11,0.33,0.37,0.52,0.49
138,9.00,4.00,47.00,70.00,14.00,4.00,1.00,9.00,0.46,0.19,0.23,0.11,0.33,0.37,0.52,0.49
139,9.00,4.00,47.00,70.00,13.00,4.00,1.00,9.00,0.46,0.19,0.23,0.11,0.33,0.37,0.52,0.49
140,9.00,4.00,47.00,71.00,13.00,4.00,1.00,9.00,0.46,0.19,0.23,0.11,0.33,0.37,0.52,0.49
141,10.00,4.00,47.00,71.00,14.00,4.00,1.00,9.00,0.46,0.19,0.23,0.11,0.33,0.37,0.52,0.49
142,10.00,4.00,47.00,71.00,13.00,4.00,1.00,9.00,0.46,0.19,0.23,0.11,0.33,0.37,0.52,0.49
143,10.00,4.00,47.00,70.00,13.00,4.00,1.00,9.00,0.46,0.19,0.23,0.11,0.33,0.37,0.52,0.48
144,10.00,4.00,47.00,70.00,13.00,4.00,1.00,9.00,0.45,0.19,0.23,0.11,0.33,0.37,0.52,0.48
145,10.00,4.00,47.00,70.00,14.00,4.00,1.00,9.00,0.45,0.19,0.23,0.11,0.33,0.37,0.52,0.48
146,10.00,4.00,48.00,71.00,13.00,4.00,1.00,9.00,0.45,0.19,0.23,0.11,0.33,0.37,0.52,0.48
147,10.00,4.00,48.00,71.00,13.00,4.00,1.00,9.00,0.45,0.19,0.22,0.11,0.33,0.37,0.52,0.48
148,10.00,4.00,48.00,71.00,14.00,4.00,1.00,9.00,0.45,0.19,0.22,0.11,0.33,0.37,0.52,0.48
149,10.00,4.00,48.00,72.00,14.00,4.00,1.00,9.00,0.45,0.19,0.22,0.10,0.33,0.37,0.52,0.48
150,10.00,4.00,48.00,72.00,13.00,4.00,1.00,9.00,0.45,0.19,0.22,0.10,0.33,0.37,0.52,0.48
151,10.00,4.00,48.00,71.00,13.00,4.00,1.00,9.00,0.45,0.19,0.22,0.10,0.33,0.37,0.52,0.48
152,10.00,4.00,48.00,72.00,13.00,4.00,1.00,9.00,0.45,0.19,0.22,0.10,0.33,0.37,0.52,0.48
153,10.00,4.00,48.00,72.00,13.00,4.00,1.00,9.00,0.45,0.19,0.22,0.10,0.33,0.37,0.52,0.48
154,10.00,4.00,48.00,72.00,14.00,4.00,1.00,9.00,0.45,0.19,0.22,0.10,0.33,0.37,0.52,0.48
155,10.00,4.00,48.00,72.00,13.00,4.00,1.00,9.00,0.45,0.19,0.22,0.10,0.33,0.37,0.52,0.48
156,10.00,4.00,48.00,72.00,13.00,4.00,1.00,9.00,0.45,0.19,0.22,0.10,0.33,0.37,0.52,0.48
157,10.00,4.00,48.00,72.00,13.00,4.00,1.00,9.00,0.46,0.19,0.22,0.10,0.33,0.37,0.52,0.48
158,10.00,4.00,48.00,72.00,13.00,4.00,1.00,9.00,0.46,0.19,0.22,0.10,0.33,0.37,0.52,0.48
159,10.00,4.00,48.00,72.00,13.00,4.00,1.00,9.00,0.46,0.19,0.22,0.10,0.33,0.37,0.52,0.48
160,10.00,4.00,48.00,72.00,13.00,4.00,1.00,9.00,0.46,0.19,0.22,0.10,0.33,0.37,0.52,0.48
161,10.00,4.00,48.00,72.00,13.00,4.00,1.00,9.00,0.46,0.19,0.22,0.10,0.33,0.37,0.52,0.48
162,10.00,4.00,48.00,72.00,14.00,4.00,1.00,9.00,0.46,0.19,0.22,0.10,0.33,0.37,0.52,0.48
163,10.00,4.00,48.00,72.00,13.00,4.00,1.00,9.00,0.46,0.19,0.22,0.10,0.33,0.37,0.52,0.48
164,10.00,4.00,48.00,72.00,13.00,4.00,1.00,9.00,0.46,0.19,0.22,0.10,0.33,0.37,0.52,0.48
165,10.00,4.00,48.00,71.00,13.00,4.00,1.00,9.00,0.46,0.19,0.22,0.10,0.33,0.37,0.52,0.48
166,10.00,4.00,48.00,72.00,13.00,4.00,1.00,9.00,0.46,0.19,0.22,0.10,0.33,0.37,0.52,0.48
167,10.00,4.00,48.00,71.00,13.00,4.00,1.00,9.00,0.46,0.19,0.22,0.10,0.33,0.37,0.52,0.48
168,10.00,4.00,48.00,72.00,13.00,4.00,1.00,9.00,0.46,0.19,0.22,0.10,0.33,0.37,0.52,0.48
169,10.00,4.00,48.00,71.00,13.00,4.00,1.00,9.00,0.46,0.19,0.22,0.10,0.33,0.37,0.52,0.48
170,10.00,4.00,48.00,71.00,13.00,4.00,1.00,9.00,0.46,0.19,0.22,0.11,0.33,0.37,0.52,0.48
171,10.00,4.00,48.00,72.00,13.00,4.00,1.00,9.00,0.46,0.19,0.22,0.10,0.33,0.37,0.52,0.48
172,10.00,4.00,48.00,72.00,13.00,4.00,1.00,9.00,0.46,0.19,0.22,0.10,0.33,0.37,0.52,0.47
173,10.00,4.00,48.00,72.00,13.00,4.00,1.00,9.00,0.46,0.19,0.22,0.10,0.33,0.37,0.52,0.47
174,10.00,4.00,48.00,72.00,13.00,4.00,1.00,9.00,0.46,0.19,0.22,0.10,0.33,0.37,0.52,0.47
175,10.00,4.00,48.00,72.00,13.00,4.00,1.00,9.00,0.46,0.19,0.22,0.10,0.33,0.37,0.52,0.47
176,9.00,4.00,48.00,73.00,13.00,4.00,1.00,9.00,0.46,0.19,0.22,0.10,0.33,0.37,0.52,0.47
177,9.00,4.00,48.00,72.00,13.00,4.00,1.00,9.00,0.46,0.19,0.22,0.10,0.33,0.37,0.52,0.47
178,9.00,4.00,48.00,72.00,13.00,4.00,1.00,9.00,0.46,0.19,0.22,0.10,0.33,0.37,0.52,0.47
179,9.00,4.00,48.00,72.00,13.00,4.00,1.00,10.00,0.46,0.19,0.23,0.10,0.33,0.37,0.52,0.47
180,9.00,4.00,48.00,72.00,13.00,4.00,1.00,10.00,0.46,0.19,0.22,0.10,0.33,0.37,0.52,0.47
181,9.00,4.00,48.00,72.00,13.00,4.00,1.00,10.00,0.46,0.19,0.22,0.10,0.33,0.37,0.52,0.47
182,9.00,4.00,48.00,72.00,13.00,4.00,1.00,10.00,0.46,0.19,0.22,0.10,0.33,0.37,0.52,0.47
183,9.00,4.00,48.00,71.00,13.00,4.00,1.00,10.00,0.46,0.19,0.23,0.10,0.33,0.37,0.52,0.47
184,9.00,4.00,47.00,71.00,13.00,4.00,1.00,10.00,0.46,0.19,0.23,0.10,0.33,0.37,0.52,0.47
185,9.00,4.00,47.00,70.00,13.00,4.00,1.00,10.00,0.46,0.19,0.23,0.11,0.33,0.37,0.52,0.47
186,9.00,4.00,47.00,70.00,13.00,4.00,1.00,10.00,0.46,0.19,0.23,0.11,0.33,0.37,0.52,0.47
187,10.00,4.00,47.00,71.00,13.00,4.00,1.00,10.00,0.46,0.19,0.23,0.11,0.33,0.37,0.52,0.47
188,10.00,4.00,48.00,71.00,13.00,4.00,1.00,10.00,0.46,0.19,0.23,0.11,0.33,0.37,0.52,0.47
189,10.00,4.00,48.00,71.00,13.00,4.00,1.00,10.00,0.45,0.19,0.23,0.11,0.33,0.37,0.52,0.47
190,10.00,4.00,47.00,70.00,13.00,4.00,1.00,10.00,0.45,0.19,0.23,0.11,0.33,0.37,0.52,0.47
191,10.00,4.00,48.00,72.00,14.00,4.00,1.00,10.00,0.45,0.19,0.22,0.10,0.33,0.37,0.52,0.47
192,10.00,4.00,48.00,72.00,13.00,4.00,1.00,10.00,0.45,0.19,0.22,0.10,0.33,0.37,0.52,0.47
193,10.00,4.00,48.00,71.00,13.00,4.00,1.00,10.00,0.45,0.19,0.22,0.11,0.33,0.37,0.52,0.47
194,10.00,4.00,48.00,71.00,13.00,4.00,1.00,10.00,0.45,0.19,0.23,0.11,0.33,0.37,0.52,0.47
195,10.00,4.00,48.00,71.00,13.00,4.00,1.00,10.00,0.45,0.19,0.23,0.11,0.33,0.37,0.52,0.47
196,10.00,4.00,48.00,71.00,13.00,4.00,1.00,10.00,0.45,0.19,0.22,0.11,0.33,0.37,0.52,0.47
197,10.00,4.00,48.00,71.00,13.00,4.00,1.00,10.00,0.45,0.19,0.22,0.11,0.33,0.37,0.52,0.47
198,10.00,4.00,48.00,71.00,13.00,4.00,1.00,10.00,0.45,0.19,0.22,0.10,0.33,0.37,0.52,0.47
199,10.00,4.00,48.00,71.00,13.00,4.00,1.00,10.00,0.45,0.19,0.22,0.10,0.33,0.37,0.52,0.47
